Number,q1,q2,q3,raceeth,q6,q7,q23,q26,q28
257,4,2,2,5,1.8,72.12,2,2,1
258,6,2,4,5,1.78,88.91,2,2,1
259,4,1,2,7,,,1,2,
260,4,1,2,5,1.7,71.22,2,1,1
261,4,2,2,5,1.8,66.23,2,2,1
262,6,1,4,5,1.6,68.04,2,2,1
263,6,2,4,7,1.73,68.04,2,2,1
264,5,1,3,6,1.65,75.3,2,2,1
265,4,1,2,7,1.63,54.89,2,2,1
266,4,1,2,8,1.63,51.71,2,2,1
267,4,1,2,5,1.65,70.31,1,2,1
268,4,2,2,5,1.6,44,2,2,1
269,4,2,2,7,1.63,57.61,2,2,1
270,5,1,2,3,1.55,67.59,1,2,1
271,4,2,2,6,1.63,72.58,2,2,1
272,5,2,2,3,1.85,73.03,2,2,1
273,4,2,2,8,1.78,59.42,2,2,1
274,4,2,2,5,1.96,90.72,2,2,1
275,4,2,2,6,1.7,57.61,2,2,1
276,4,2,2,2,1.7,64.41,2,1,1
277,4,1,2,7,1.63,69.4,2,2,1
278,5,1,2,5,1.57,52.16,2,2,1
279,6,1,3,6,1.65,76.2,2,2,1
280,5,1,3,7,1.68,54.43,1,2,1
281,7,2,4,7,1.75,83.92,2,2,1
282,7,2,4,7,1.8,74.84,2,2,
283,6,2,4,5,1.83,79.38,2,2,1
284,7,1,4,7,1.57,49.44,2,2,1
285,6,1,4,7,1.6,63.05,1,2,1
286,4,1,2,6,1.75,54.43,2,1,5
287,4,1,2,7,,,2,1,4
288,5,1,2,7,1.57,44.45,2,2,1
289,6,2,4,3,1.85,75.3,2,2,1
290,6,1,4,6,,,2,2,1
291,6,2,4,5,1.57,68.04,2,2,1
292,6,1,4,7,1.6,61.24,2,2,1
293,6,2,4,8,1.73,64.86,2,2,1
294,6,1,4,5,1.55,50.35,1,1,2
295,6,1,4,3,1.63,64.41,2,2,1
296,6,1,4,7,1.6,68.04,2,2,1
297,6,2,4,2,1.85,81.65,2,2,1
298,6,2,4,5,,,2,2,1
299,5,2,3,6,1.73,72.58,2,2,
300,6,1,3,7,1.57,61.24,2,2,1
301,6,1,4,6,1.6,56.7,2,2,
302,5,2,3,6,1.6,56.7,2,2,1
303,5,2,3,7,1.78,68.04,2,2,1
304,7,2,4,5,1.78,72.58,2,2,1
305,6,1,4,5,1.63,68.04,1,2,1
306,6,1,4,6,1.52,60.33,2,2,1
307,6,1,4,7,1.6,68.04,2,1,3
308,5,2,3,7,1.85,72.58,2,2,1
309,5,2,3,7,1.68,52.62,2,2,1
310,5,1,3,7,1.65,54.43,2,2,1
311,6,2,3,7,1.7,58.97,2,2,1
312,5,1,3,6,1.52,55.79,2,2,1
313,6,1,3,6,1.47,43.09,2,2,1
